from_pretrained,input_seg_size,input_seq_len,num_mem_tokens,lr,lr_scheduler,sum_loss,f1,best_valid_f1,f1_std,n_runs,runs
facebook/bart-base,512.0,2004,10.0,0.0001,constant_with_warmup,False,0.9245283007621765,0.8198231160640717,0.026683254085944033,2,"[0.94, 0.91]"
facebook/bart-base,512.0,2004,10.0,0.0001,linear,False,0.8912872672080994,0.7467105388641357,0.00943549926983087,2,"[0.9, 0.88]"
google/electra-base-discriminator,256.0,256,0.0,1e-05,linear,False,0.9305882453918456,0.8039966225624084,0.012226233383311547,4,"[0.94, 0.92, 0.94, 0.92]"
google/electra-base-discriminator,256.0,512,10.0,1e-05,linear,False,0.9228113094965616,0.7715468804041544,0.018531625574304607,6,"[0.94, 0.92, 0.9, 0.94, 0.92, 0.9]"
google/electra-base-discriminator,256.0,768,10.0,1e-05,linear,False,0.902912437915802,0.8301760752995809,0.019381825732636863,6,"[0.91, 0.92, 0.88, 0.91, 0.92, 0.88]"
google/electra-base-discriminator,256.0,918,50.0,1e-05,linear,False,0.8235294222831726,0.807692289352417,0.0,2,"[0.82, 0.82]"
google/electra-base-discriminator,256.0,1024,10.0,1e-05,linear,False,0.6872923771540324,0.6751414736111959,0.08211379052162995,6,"[0.65, 0.79, 0.62, 0.65, 0.79, 0.62]"
google/electra-base-discriminator,512.0,512,0.0,1e-05,linear,False,0.9215384721755981,0.8079710006713867,0.0017764553783004033,4,"[0.92, 0.92, 0.92, 0.92]"
google/electra-base-discriminator,512.0,818,100.0,1e-05,linear,False,0.9404934559549604,0.8307939725262778,0.007240742415522531,28,"[0.94, 0.94, 0.94, 0.94, 0.92, 0.94, 0.94, 0.94, 0.92, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.94, 0.92, 0.94, 0.94, 0.94, 0.92, 0.94, 0.94, 0.94, 0.94, 0.94]"
google/electra-base-discriminator,512.0,998,10.0,1e-05,linear,False,0.9390286356210709,0.8542577028274536,0.008087177535999792,8,"[0.94, 0.93, 0.94, 0.94, 0.94, 0.93, 0.94, 0.94]"
google/electra-base-discriminator,512.0,1227,100.0,1e-05,linear,False,0.9199075847864151,0.7856677323579788,0.04991792794200072,8,"[0.86, 0.94, 0.98, 0.9, 0.86, 0.94, 0.98, 0.9]"
google/electra-base-discriminator,512.0,1497,10.0,1e-05,linear,False,0.925334612528483,0.8036988377571106,0.07180059671891069,6,"[0.83, 0.98, 0.96, 0.83, 0.98, 0.96]"
google/electra-base-discriminator,512.0,1636,100.0,1e-05,linear,False,0.726518303155899,0.692568764090538,0.19512927239265337,8,"[0.62, 0.94, 0.86, 0.49, 0.62, 0.94, 0.86, 0.49]"
google/electra-base-discriminator,512.0,1996,10.0,1e-05,linear,False,0.7150000035762787,0.6432806253433228,0.19052557919700436,4,"[0.88, 0.55, 0.88, 0.55]"
microsoft/deberta-v3-base,256.0,486,10.0,1e-05,constant_with_warmup,False,0.9626135677099228,0.8083856999874115,0.014267712477836245,8,"[0.96, 0.96, 0.94, 0.98, 0.96, 0.96, 0.94, 0.98]"
microsoft/deberta-v3-base,256.0,486,10.0,1e-05,linear,False,0.9718696475028992,0.8256502747535706,0.01757673763408135,8,"[0.98, 0.98, 0.98, 0.94, 0.98, 0.98, 0.98, 0.94]"
microsoft/deberta-v3-base,256.0,486,10.0,5e-05,constant_with_warmup,False,0.9333638101816177,0.830944836139679,0.02457796031780728,8,"[0.92, 0.9, 0.95, 0.96, 0.92, 0.9, 0.95, 0.96]"
