from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,model_path,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,968,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_968_mem25_sum_loss/run_2,0.9411764740943909,0.8679245114326477,1.0,0.9444444179534912,0.8888888955116272,1.0,0.9545454382896423,0.890625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_3,0.9433962106704712,0.8571428656578064,0.9615384340286255,0.9523809552192688,0.9259259104728699,1.0,0.9545454382896423,0.890625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1452,,25.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1452_mem25_sum_loss/run_2,0.9230769276618958,0.8085106611251831,0.9599999785423279,1.0,0.8888888955116272,0.7307692170143127,0.939393937587738,0.859375
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_3,0.9230769276618958,0.8799999952316284,0.9599999785423279,1.0,0.8888888955116272,1.0,0.939393937587738,0.90625
roberta-base,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,1,2,constant_with_warmup,1996,,10.0,../runs/finetune/debug/hyperpartisan_news_detection/roberta-base/lr1e-05_constant_with_warmup_adamw_wd1e-03_1996_mem10_sum_loss/run_2,0.9615384340286255,0.8510638475418091,1.0,0.9523809552192688,0.9259259104728699,1.0,0.9696969985961914,0.890625
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,1e-05,16,2,constant_with_warmup,512,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr1e-05_constant_with_warmup_adamw_wd1e-03_512_mem/run_2,0.9615384340286255,0.8571428656578064,1.0,0.9411764740943909,0.9259259104728699,0.8461538553237915,0.9696969985961914,0.890625
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,1e-05,16,2,constant_with_warmup,512,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr1e-05_constant_with_warmup_adamw_wd1e-03_512_mem/run_1,0.9615384340286255,0.7755101919174194,1.0,0.9444444179534912,0.9259259104728699,0.7307692170143127,0.9696969985961914,0.84375
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,1e-05,2,2,linear,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr1e-05_linear_adamw_wd1e-03_4096_mem/run_3,0.9615384340286255,0.7755101919174194,1.0,1.0,0.9259259104728699,0.7692307829856873,0.9696969985961914,0.828125
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,1e-05,2,2,linear,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr1e-05_linear_adamw_wd1e-03_4096_mem/run_2,0.9433962106704712,0.7916666865348816,0.9615384340286255,0.9166666865348816,0.9259259104728699,0.7692307829856873,0.9545454382896423,0.84375
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,5e-05,2,2,linear,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr5e-05_linear_adamw_wd1e-03_4096_mem/run_3,0.9230769276618958,0.8085106611251831,0.9599999785423279,0.9230769276618958,0.8888888955116272,0.8461538553237915,0.939393937587738,0.859375
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,5e-05,2,2,linear,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr5e-05_linear_adamw_wd1e-03_4096_mem/run_2,0.9615384340286255,0.8333333134651184,1.0,0.9444444179534912,0.9259259104728699,0.8846153616905212,0.9696969985961914,0.875
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,5e-05,2,2,constant_with_warmup,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr5e-05_constant_with_warmup_adamw_wd1e-03_4096_mem/run_3,0.8928571343421936,0.8085106611251831,0.8620689511299133,0.9444444179534912,0.9259259104728699,1.0,0.9090909361839294,0.859375
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,5e-05,2,2,constant_with_warmup,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr5e-05_constant_with_warmup_adamw_wd1e-03_4096_mem/run_2,0.9056603908538818,0.8235294222831726,0.9230769276618958,1.0,0.8888888955116272,1.0,0.9242424368858337,0.859375
allenai/longformer-base-4096,,transformers:LongformerForSequenceClassification,encoder,1e-05,2,2,constant_with_warmup,4096,,,../runs/finetune/debug/hyperpartisan_news_detection/allenai/longformer-base-4096/lr1e-05_constant_with_warmup_adamw_wd1e-03_4096_mem/run_3,0.9411764740943909,0.8163265585899353,1.0,0.9411764740943909,0.8888888955116272,0.8461538553237915,0.9545454382896423,0.859375
