task_name,from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,input_seg_size,num_mem_tokens,segment_ordering,padding_side,model_path,sum_loss,inter_layer_memory,num_steps,best_valid_rouge/geometric_mean
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr5e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_rep_first/run_2,True,False,3200,15.130000114440918
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr5e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_rep_first/run_1,True,False,3200,15.406800270080566
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,2,2,linear,1503,,10.0,bidirectional,,../runs/finetune/debug/qmsum/t5-base/lr5e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_bidirectional/run_2,True,False,3200,14.260299682617188
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0005,2,2,linear,1503,,10.0,bidirectional,,../runs/finetune/debug/qmsum/t5-base/lr5e-04_linear_adamw_wd1e-03_1503-1024_mem10_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,13.725099563598633
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1014,,4.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1014-1024_mem4_bs8_iters3200_sl_bidirectional/run_2,True,False,3200,13.071900367736816
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1014,,4.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1014-1024_mem4_bs8_iters3200_sl_bidirectional/run_2,True,False,3200,15.601799964904785
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1014,,4.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1014-1024_mem4_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,15.771599769592285
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,4,2,linear,1014,,4.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1014-1024_mem4_bs8_iters3200_sl_bidirectional/run_1,True,False,3200,12.505999565124512
qmsum,t5-base,,transformers:T5ForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1024,,,,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1024-1024_bs8_iters3200_bl/run_1,,,3200,16.700000762939453
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200/run_2,False,False,3200,11.139900207519531
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,5e-05,4,2,linear,1002,,10.0,regular,,../runs/finetune/debug/qmsum/t5-base/lr5e-05_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200/run_1,False,False,3200,11.089699745178223
qmsum,t5-base,,modeling_rmt_enc_dec:RMTEncoderDecoderForConditionalGeneration,encoder-decoder,0.0002,2,2,linear,1002,,10.0,repeat_first,,../runs/finetune/debug/qmsum/t5-base/lr2e-04_linear_adamw_wd1e-03_1002-1024_mem10_bs8_iters3200_sl_rep_first/run_2,True,False,3200,15.57979965209961
