from_pretrained,model_cfg,model_cls,model_type,lr,batch_size,HVD_SIZE,lr_scheduler,input_seq_len,num_mem_tokens,f1,best_valid_f1,precision,best_valid_precision,recall,best_valid_recall,accuracy,best_valid_accuracy,model_path
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,2,linear,256,0,0.9200000166893005,0.8163265585899353,1.0,0.9375,0.8518518805503845,1.0,0.939393937587738,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_256_mem0_seg256/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,,0.8163265585899353,,0.9444444179534912,,0.7692307829856873,,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.7916666865348816,0.9615384340286255,1.0,0.9259259104728699,1.0,0.9558823704719543,0.84375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.807692289352417,0.9615384340286255,0.9166666865348816,0.9259259104728699,1.0,0.9558823704719543,0.84375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8333333134651184,0.9615384340286255,1.0,0.9259259104728699,0.807692289352417,0.9558823704719543,0.875,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.8461538553237915,0.9599999785423279,1.0,0.8888888955116272,0.8846153616905212,0.9411764740943909,0.875,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_3
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8301886916160583,0.9615384340286255,0.9375,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.7755101919174194,0.9615384340286255,0.9285714030265808,0.9259259104728699,0.7307692170143127,0.9558823704719543,0.828125,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8301886916160583,0.9615384340286255,1.0,0.9259259104728699,0.8461538553237915,0.9558823704719543,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9230769276618958,0.8235294222831726,0.9599999785423279,0.9375,0.8888888955116272,0.9615384340286255,0.9411764740943909,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.807692289352417,0.9615384340286255,1.0,0.9259259104728699,0.807692289352417,0.9558823704719543,0.84375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_2
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8363636136054993,0.9615384340286255,0.8695651888847351,0.9259259104728699,0.9615384340286255,0.9558823704719543,0.859375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8679245114326477,0.9615384340286255,0.875,0.9259259104728699,1.0,0.9558823704719543,0.890625,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8846153616905212,0.9615384340286255,0.9444444179534912,0.9259259104728699,0.8846153616905212,0.9558823704719543,0.90625,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,2,4,linear,818,100,0.9433962106704712,0.8727272748947144,0.9615384340286255,1.0,0.9259259104728699,0.9230769276618958,0.9558823704719543,0.890625,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_818_mem100/run_1
google/electra-base-discriminator,,modeling_rmt:RMTEncoderForSequenceClassification,encoder,1e-05,4,4,linear,512,0,0.9200000166893005,0.782608687877655,1.0,0.9375,0.8518518805503845,1.0,0.9411764740943909,0.84375,../runs/finetune/hyperpartisan_news_detection/google/electra-base-discriminator/lr1e-05_linear_adamw_wd1e-03_512_mem0/run_1
